Date,Location,LocationID,Parameter,Units,Value
12/20/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,<0.05
12/20/2016 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.4
12/20/2016 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.4
12/20/2016 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
12/20/2016 12:00,Shuswap_Well,SW,E. coli,cfu,<1
1/26/2016 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,13
1/26/2016 12:00,Shuswap_River,SR,E. coli,cfu,4
2/23/2016 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,>= 17
2/23/2016 12:00,Shuswap_River,SR,E. coli,cfu,2
3/22/2016 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,90
3/22/2016 12:00,Shuswap_River,SR,E. coli,cfu,13
3/22/2016 12:00,Shuswap_River,SR,"Carbon, Total Organic",mg/L,2.4
4/26/2016 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,46
4/26/2016 12:00,Shuswap_River,SR,E. coli,cfu,5
5/24/2016 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,76
5/24/2016 12:00,Shuswap_River,SR,E. coli,cfu,9
6/28/2016 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,150
6/28/2016 12:00,Shuswap_River,SR,E. coli,cfu,8
6/28/2016 12:00,Shuswap_River,SR,"Carbon, Total Organic",mg/L,2
7/27/2016 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,>= 170
7/27/2016 12:00,Shuswap_River,SR,E. coli,cfu,13
8/24/2016 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,210
8/24/2016 12:00,Shuswap_River,SR,E. coli,cfu,12
9/28/2016 12:00,Shuswap_River,SR,"Carbon, Total Organic",mg/L,1
10/26/2016 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,64
10/26/2016 12:00,Shuswap_River,SR,E. coli,cfu,6
11/24/2016 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,46
11/24/2016 12:00,Shuswap_River,SR,E. coli,cfu,<1
12/12/2016 12:00,Shuswap_River,SR,"Carbon, Total Organic",mg/L,2.1
12/12/2016 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,40
12/12/2016 12:00,Shuswap_River,SR,E. coli,cfu,5
12/13/2016 12:00,Shuswap_River,SR,"Carbon, Total Organic",mg/L,1.2
12/20/2016 12:00,Shuswap_River,SR,"Coliforms, Total",cfu,40
12/20/2016 12:00,Shuswap_River,SR,E. coli,cfu,5
1/25/2017 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.572
1/25/2017 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
1/25/2017 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,<0.05
1/25/2017 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.572
1/25/2017 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.572
1/25/2017 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
1/25/2017 12:00,Shuswap_Well,SW,E. coli,cfu,<1
2/22/2017 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,0.81
2/22/2017 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
2/22/2017 12:00,Shuswap_Well,SW,"Nitrogen, Total Kjeldahl ",mg/L,<0.05
2/22/2017 12:00,Shuswap_Well,SW,Nitrate+Nitrite (as N),mg/L,0.81
2/22/2017 12:00,Shuswap_Well,SW,"Nitrogen, Total",mg/L,0.81
2/22/2017 12:00,Shuswap_Well,SW,"Coliforms, Total",cfu,<1
2/22/2017 12:00,Shuswap_Well,SW,E. coli,cfu,<1
3/22/2017 12:00,Shuswap_Well,SW,Nitrate (as N),mg/L,1.03
3/22/2017 12:00,Shuswap_Well,SW,Nitrite (as N),mg/L,<0.010
